"index","Date","Open","High","Low","Close","Adj Close","Volume"
"211","2010-11-02","10.9643","11.0782","10.9643","11.0486","9.4727","433930000"
"212","2010-11-03","11.1204","11.1743","11.0189","11.1714","9.578","508348400"
"213","2010-11-04","11.2661","11.435","11.2511","11.3668","9.7455","642488000"
"214","2010-11-05","11.3568","11.4132","11.3125","11.3261","9.7106","361253200"
"215","2010-11-08","11.3286","11.4204","11.3129","11.3793","9.7562","281758400"
"216","2010-11-09","11.4661","11.475","11.2321","11.2886","9.6784","383544000"
"217","2010-11-10","11.3086","11.3846","11.1982","11.3582","9.7381","384227200"
"218","2010-11-11","11.25","11.3714","11.2232","11.3089","9.6959","361284000"
"219","2010-11-12","11.2857","11.3036","10.8439","11.0011","9.4319","795846800"
"220","2010-11-15","11.0164","11.0907","10.9382","10.9657","9.4016","403606000"
"221","2010-11-16","10.9186","10.9857","10.69","10.7711","9.2347","657650000"
"222","2010-11-17","10.7571","10.8568","10.6343","10.7321","9.2014","479449600"
"223","2010-11-18","10.9","11.0596","10.8818","11.0154","9.4442","494491200"
"224","2010-11-19","10.9989","11.0143","10.9014","10.9546","9.3921","384843200"
"225","2010-11-22","10.9529","11.1914","10.9239","11.1914","9.5951","393075200"
"226","2010-11-23","11.0875","11.1339","10.9486","11.0261","9.4534","519447600"
"227","2010-11-24","11.1429","11.2643","11.1339","11.2429","9.6392","413725200"
"228","2010-11-26","11.205","11.3464","11.1764","11.25","9.6454","237585600"
"229","2010-11-29","11.2679","11.3386","11.1207","11.3168","9.7026","445785200"
"230","2010-11-30","11.1979","11.2271","11.1025","11.1125","9.5275","501858000"
"231","2010-12-01","11.2596","11.3482","11.25","11.3","9.6882","461750800"
"232","2010-12-02","11.3404","11.3929","11.2461","11.3625","9.7418","462837200"
"233","2010-12-03","11.3218","11.3804","11.2979","11.3371","9.7201","342092800"
"234","2010-12-06","11.38","11.5118","11.3721","11.4339","9.8031","448481600"
"235","2010-12-07","11.5643","11.5711","11.3614","11.3646","9.7437","391454000"
"236","2010-12-08","11.4154","11.465","11.3254","11.4646","9.8294","321935600"
"237","2010-12-09","11.5046","11.5179","11.3936","11.42","9.7911","294151200"
"238","2010-12-10","11.4161","11.4661","11.3786","11.4486","9.8156","262511200"
"239","2010-12-13","11.5846","11.6093","11.4643","11.4882","9.8496","439815600"
"240","2010-12-14","11.4904","11.5193","11.3929","11.4389","9.8073","351008000"
"241","2010-12-15","11.4286","11.5357","11.3996","11.4414","9.8095","417312000"
"242","2010-12-16","11.4675","11.5218","11.4321","11.4732","9.8367","322030800"
"243","2010-12-17","11.4868","11.4925","11.4368","11.4504","9.8171","386929200"
"244","2010-12-20","11.4857","11.5446","11.3654","11.5075","9.8661","385610400"
"245","2010-12-21","11.5357","11.5854","11.5018","11.5786","9.9271","256354000"
"246","2010-12-22","11.5843","11.6329","11.5554","11.6129","9.9565","265921600"
"247","2010-12-23","11.6071","11.6125","11.5418","11.5571","9.9087","223157200"
"248","2010-12-27","11.5304","11.6229","11.4829","11.5957","9.9418","249816000"
"249","2010-12-28","11.6396","11.6664","11.6093","11.6239","9.966","175924000"
"250","2010-12-29","11.6507","11.6589","11.6107","11.6175","9.9604","163139200"
"251","2010-12-30","11.6243","11.6254","11.5375","11.5593","9.9105","157494400"
"252","2010-12-31","11.5339","11.5529","11.4754","11.52","9.8768","193508000"
"253","2011-01-03","11.63","11.795","11.6014","11.7704","10.0915","445138400"
"254","2011-01-04","11.8729","11.875","11.7196","11.8318","10.1442","309080800"
"255","2011-01-05","11.7696","11.9407","11.7679","11.9286","10.2271","255519600"
"256","2011-01-06","11.9543","11.9732","11.8893","11.9189","10.2189","300428800"
"257","2011-01-07","11.9282","12.0125","11.8536","12.0043","10.2921","311931200"
"258","2011-01-10","12.1011","12.2582","12.0418","12.2304","10.4859","448560000"
"259","2011-01-11","12.3171","12.32","12.1239","12.2014","10.4611","444108000"
"260","2011-01-12","12.2589","12.3011","12.2143","12.3007","10.5462","302590400"
"261","2011-01-13","12.3271","12.38","12.2804","12.3457","10.5848","296780400"
"262","2011-01-14","12.3532","12.4457","12.3014","12.4457","10.6705","308840000"
"263","2011-01-18","11.7686","12.3129","11.6429","12.1661","10.4308","1880998000"
"264","2011-01-19","12.4411","12.45","12.0314","12.1014","10.3753","1135612800"
"265","2011-01-20","12.0154","12.0821","11.79","11.8814","10.1867","764789200"
"266","2011-01-21","11.9204","11.96","11.6654","11.6686","10.0042","754401200"
"267","2011-01-24","11.6739","12.0518","11.6686","12.0518","10.3328","574683200"
"268","2011-01-25","12.0118","12.1943","11.9489","12.1929","10.4537","546868000"
"269","2011-01-26","12.2486","12.3429","12.1964","12.2804","10.5287","506875600"
"270","2011-01-27","12.2779","12.3104","12.2439","12.2575","10.5092","285026000"
"271","2011-01-28","12.2918","12.3","11.9118","12.0036","10.2914","592057200"
"272","2011-01-31","11.9929","12.1443","11.9393","12.1186","10.39","377246800"
"273","2011-02-01","12.1893","12.3446","12.1779","12.3225","10.5649","426633200"
"274","2011-02-02","12.3018","12.3304","12.2696","12.2971","10.5431","258955200"
"275","2011-02-03","12.2786","12.2943","12.0911","12.2657","10.5162","393797600"
"276","2011-02-04","12.2729","12.3821","12.2682","12.375","10.6099","321840400"
"277","2011-02-07","12.4246","12.6161","12.4157","12.5671","10.7746","485021600"
"278","2011-02-08","12.6314","12.6971","12.5768","12.6857","10.8763","381040800"
"279","2011-02-09","12.6854","12.8214","12.6739","12.7914","10.9669","482745200"
"280","2011-02-10","12.7639","12.8571","12.4286","12.6621","10.8561","928550000"
"281","2011-02-11","12.6696","12.7786","12.6264","12.7446","10.9268","367572800"
"282","2011-02-14","12.7425","12.8386","12.7396","12.8279","10.9982","310416400"
"283","2011-02-15","12.8282","12.8561","12.7696","12.8536","11.0202","284174800"
"284","2011-02-16","12.8857","13.0321","12.875","12.9689","11.1191","481157600"
"285","2011-02-17","12.7589","12.8668","12.7329","12.7964","10.9712","530583200"
"286","2011-02-18","12.8111","12.8393","12.4829","12.52","10.7342","816057200"
"287","2011-02-22","12.2196","12.3357","12.0614","12.0932","10.3683","872555600"
"288","2011-02-23","12.0989","12.3086","12.0932","12.2364","10.4911","671854400"
"289","2011-02-24","12.2864","12.3268","12.0846","12.2457","10.499","499900800"
"290","2011-02-25","12.3307","12.4439","12.3143","12.4343","10.6607","380018800"
"291","2011-02-28","12.5443","12.6804","12.54","12.6146","10.8154","403074000"
"292","2011-03-01","12.6954","12.7043","12.4171","12.4754","10.6959","456136800"
"293","2011-03-02","12.4986","12.6554","12.4429","12.5757","10.782","602590800"
